rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,domestic_servant,gross_emolument,tax,pension,nhf,total_deduction,net_pay
8,11,4,2195160.00,1792570.00,149380.83,25540.33,8908.83,,183829.99,14496.36,11203.56,3734.52,29434.44,154395.55
8,11,5,2242565.00,1827190.00,152265.83,26432.67,9081.92,,187780.42,15021.76,11419.94,3806.65,30248.34,157532.08
8,11,6,2289971.00,1861810.00,155150.83,27325.00,9255.08,,191730.91,15547.18,11636.31,3878.77,31062.26,160668.65
8,11,7,2337375.00,1896430.00,158035.83,28217.25,9428.17,,195681.25,16072.57,11852.69,3950.90,31876.15,163805.10
8,11,8,2384781.00,1931051.00,160920.92,29109.58,9601.25,,199631.75,16597.99,12069.07,4023.02,32690.08,166941.67
7,12,1,2187652.00,1787088.00,148924.00,25398.92,8881.42,,183204.34,14413.14,11169.30,3723.10,29305.54,153898.80
7,12,2,2237773.00,1823692.00,151974.33,26342.25,9064.50,,187381.08,14968.65,11398.08,3799.36,30166.08,157215.00
7,12,3,2287892.00,1860295.00,155024.58,27285.58,9247.50,,191557.66,15524.14,11626.84,3875.61,31026.60,160531.07
7,12,4,2338011.00,1896898.00,158074.83,28228.92,9430.50,,195734.25,16079.62,11855.61,3951.87,31887.10,163847.15
7,12,5,2388131.00,1933502.00,161125.17,29172.25,9613.50,,199910.92,16635.12,12084.39,4028.13,32747.64,167163.28
7,12,6,2438249.00,1970105.00,164175.42,30115.50,9796.50,,204087.42,17190.59,12313.16,4104.39,33608.13,170479.29
7,12,7,2488368.00,2006708.00,167225.67,31058.83,9979.50,,208264.00,17746.08,12541.93,4180.64,34468.65,173795.35
7,12,8,2538488.00,2043311.00,170275.92,32002.17,10162.58,,212440.67,18301.58,12770.69,4256.90,35329.17,177111.50
6,13,1,2328567.00,1890478.00,157539.83,28009.00,9398.42,,194947.25,15974.65,11815.49,3938.50,31728.63,163218.62
6,13,2,2382528.00,1929887.00,160823.92,29024.67,9595.42,,199444.01,16573.02,12061.79,4020.60,32655.41,166788.60
