rank_id,gl,step,salary_per_annum_with_shift,salary_per_annum,rent_per_annum,monthly_salary,monthly_rent,shift_duty_allowance,gross_emolument,tax,pension,nhis,nhf,total_deduction,net_pay
7,12,6,2448066,2068610,379456,172384.1667,31621.33333,10343.05,222967.76,19080.82,15300.41,8619.208333,4309.604167,47310.0425,175657.7175
7,12,7,2498385,2107044,391341,175587,32611.75,10535.22,227513.32,19736.48,15614.91,8779.35,4389.675,48520.415,178992.905
7,12,8,2548704,2145477,403227,178789.75,33602.25,10727.385,232058.875,20366.92,15929.4,8939.4875,4469.74375,49705.55125,182353.3238
6,13,1,2337916,1985002,352914,165416.8333,29409.5,9925.01,213022.1833,17646.12,14611.98,8270.841667,4135.420833,44664.3625,168357.8208
6,13,2,2392092,2026381,365711,168865.0833,30475.91667,10131.905,217916.155,18352.49,14950.58,8443.254167,4221.627083,45967.95125,171948.2038
6,13,3,2446267,2067760,378507,172313.3333,31542.25,10338.8,222810.0533,19058.86,15289.17,8615.666667,4307.833333,47271.53,175538.5233
6,13,4,2500443,2109139,391304,175761.5833,32608.66667,10545.695,227704.025,19765.23,15627.77,8788.079167,4394.039583,48575.11875,179128.9063
6,13,5,2554618,2150517,404101,179209.75,33675.08333,10752.585,232597.9083,20468.69,15966.36,8960.4875,4480.24375,49875.78125,182722.1271
6,13,6,2608794,2191896,416898,182658,34741.5,10959.48,237491.88,21148,16304.96,9132.9,4566.45,51152.31,186339.57
6,13,7,2662970,2233275,429695,186106.25,35807.91667,11166.375,242385.8517,21875.72,16643.56,9305.3125,4652.65625,52477.24875,189908.6029
6,13,8,2717146,2274654,442492,189554.5,36874.33333,11373.27,247279.8333,22579.26,16982.16,9477.725,4738.8625,53778.0075,193501.8258
5,14,1,3038506,2569382,469124,214115.1667,39093.66667,12846.91,276761.5033,24622.77,18990.66,10705.75833,5352.879167,59672.0675,217089.4358
5,14,2,3113762,2623656,490106,218638,40842.16667,13118.28,283530.3467,25553.19,19461.01,10931.9,5465.95,61412.05,222118.2967
5,14,3,3189020,2677931,511089,223160.9167,42590.75,13389.655,290299.3717,26483.61,19931.38,11158.04583,5579.022917,63152.05875,227147.3129
5,14,4,3264276,2732205,532071,227683.75,44339.25,13661.025,297068.215,27414.03,20401.73,11384.1875,5692.09375,64892.04125,232176.1738
5,14,5,3339533,2786479,553054,232206.5833,46087.83333,13932.395,303837.1417,28344.5,20872.08,11610.32917,5805.164583,66632.07375,237205.0679
5,14,6,3414789,2840753,574036,236729.4167,47836.33333,14203.765,310605.985,29274.96,21342.43,11836.47083,5918.235417,68372.09625,242233.8888
5,14,7,3490046,2895027,595019,241252.25,49584.91667,14475.135,317374.9117,30180.05,21812.79,12062.6125,6031.30625,70086.75875,247288.1529
4,15,1,3339242,2791133,548109,232594.4167,45675.75,13955.665,303855.5517,28343.88,20870.26,11629.72083,5814.860417,66658.72125,237196.8304
4,15,2,3429688,2856362,573326,238030.1667,47777.16667,14281.81,311990.6533,29462.16,21435.55,11901.50833,5950.754167,68749.9725,243240.6808
4,15,3,3520134,2921591,598543,243465.9167,49878.58333,14607.955,320125.755,30580.44,22000.84,12173.29583,6086.647917,70841.22375,249284.5313
4,15,4,3610581,2986821,623760,248901.75,51980,14934.105,328260.945,31698.72,22566.13,12445.0875,6222.54375,72932.48125,255328.4638
4,15,5,3701027,3052050,648977,254337.5,54081.41667,15260.25,336396.0467,32817,23131.42,12716.875,6358.4375,75023.7325,261372.3142
4,15,6,3791474,3117280,674194,259773.3333,56182.83333,15586.4,344531.2367,33907.19,23696.71,12988.66667,6494.333333,77086.9,267444.3367
3,16,1,6261233,5619993,641240,468332.75,53436.66667,28099.965,573286.0217,66738.4,39132.71,23416.6375,11708.31875,140996.0663,432289.9554
3,16,2,6404840,5734982,669858,477915.1667,55821.5,28674.91,586307.3367,68779.46,40030.25,23895.75833,11947.87917,144653.3475,441653.9892
3,16,3,6555135,5856659,698476,488054.9167,58206.33333,29283.295,599947.295,70820.52,40969.59,24402.74583,12201.37292,148394.2288,451553.0663
3,16,4,6699223,5972129,727094,497677.4167,60591.16667,29860.645,613013.0983,72861.58,41870.14,24883.87083,12441.93542,152057.5263,460955.5721
3,16,5,6847008,6091296,755712,507608,62976,30456.48,626420.88,74902.64,42793.8,25380.4,12690.2,155767.04,470653.84
